name,producer,href,image_url,description
AH Zwarte thee bosvruchten,8,https://www.ah.nl/producten/product/wi381410/ah-zwarte-thee-bosvruchten,https://static.ah.nl/dam/product/AHI_43545239393238353832?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Gearomatiseerde zwarte theemet bosvruchtenExtra informatieDe perfecte mix van zwarte thee en de geur en smaak van fruit.Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Zwarte thee earl grey,8,https://www.ah.nl/producten/product/wi106529/ah-zwarte-thee-earl-grey,https://static.ah.nl/dam/product/AHI_43545239373830353138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Gearomatiseerde zwarte theemet bergamotsmaakExtra informatie Deze thee is verbouwd door UTZ gecertificeerde boeren. UTZ gecertificeerde boeren gebruiken betere landbouwmethodes, met respect voor mens en natuur.  Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje."
AH Kruiden kamille thee,8,https://www.ah.nl/producten/product/wi106661/ah-kruiden-kamille-thee,https://static.ah.nl/dam/product/AHI_43545239373932373033?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,KamilleExtra informatieDit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Zwarte thee Engelse melange,8,https://www.ah.nl/producten/product/wi381377/ah-zwarte-thee-engelse-melange,https://static.ah.nl/dam/product/AHI_43545239373830353137?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Zwarte theeExtra informatieHet perfecte kopje thee zet je met deze melange van albert heijn.Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Zwarte thee aardbei,8,https://www.ah.nl/producten/product/wi381407/ah-zwarte-thee-aardbei,https://static.ah.nl/dam/product/AHI_43545239393238353736?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Gearomatiseerde zwarte theemet 1% aardbeiExtra informatieDit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Kruiden sterrenmunt thee,8,https://www.ah.nl/producten/product/wi130355/ah-kruiden-sterrenmunt-thee,https://static.ah.nl/dam/product/AHI_43545239373932373131?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Kruideninfusiemet 35% zoethoutwortel en 15% pepermuntBevat zoethout — mensen met hoge bloeddruk dienen overmatig gebruik te vermijden.Extra informatieDit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Groene thee puur,8,https://www.ah.nl/producten/product/wi381375/ah-groene-thee-puur,https://static.ah.nl/dam/product/AHI_43545239373830353236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Groene theeExtra informatieHet perfecte kopje thee zet je met deze groene thee van albert heijn.Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
AH Zwarte thee herfst intens & kruidig,8,https://www.ah.nl/producten/product/wi381414/ah-zwarte-thee-herfst-intens-en-kruidig,https://static.ah.nl/dam/product/AHI_43545239373832373634?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Gearomatiseerde zwarte theemet 10% kaneel en 1% appelExtra informatie Als het buiten langzaam kouder wordt, de herfst z'n intrede doet, de dagen korter en stormachtiger worden, warm je dan op met een kop herfstthee met de heerlijke smaak van appel en kaneel.  Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje."
AH Zwarte thee winter kruidig & zoet,8,https://www.ah.nl/producten/product/wi381413/ah-zwarte-thee-winter-kruidig-en-zoet,https://static.ah.nl/dam/product/AHI_43545239373832373431?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Gearomatiseerde zwarte theemet 12% kaneel, 3% kruidnagel en 3% sinaasappelschilExtra informatie De winter met glinsterende sneeuw, ijs en vrieskou. Geniet    van de koudste periode van het jaar met de smaak van deze winterthee met de    smaak van sinaasappel, appel en kaneel. Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje."
AH Zwarte thee sinaasappel,8,https://www.ah.nl/producten/product/wi381411/ah-zwarte-thee-sinaasappel,https://static.ah.nl/dam/product/AHI_43545239393238353737?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Gearomatiseerde zwarte theemet 1% sinaasappelschilExtra informatieDe perfecte mix van zwarte thee en de geur en smaak van fruit.Dit product is een Prijsfavoriet. Dat zijn onze eigen-merkproducten van topkwaliteit en ze zijn altijd voordelig. Je herkent ze aan het blauwe duimpje.
