name,producer,href,image_url,description
Koffiebonen Rood,12,https://www.lidl.nl/p/koffiebonen-rood/p127509,https://imgproxy-retcat.assets.schwarz/3woXyB9O7ApA-vF8D4R80OTaY6zz2xyYplR6bPFHi7U/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8yREJBOEZCMDRCM0NBNjU2RjcyNEY5M0I/3M0I3REY1NjgzMzlGOTNFOUI4MkU5MkM4NUY1OUIzNEREMkYyNjI0LmpwZw.jpg," "
Koffiebonen Espresso,12,https://www.lidl.nl/p/koffiebonen-espresso/p72859,https://imgproxy-retcat.assets.schwarz/fvnkspKplWSvjeFc11fu1pvt7UnhxUo3WjFi5tl9n6I/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS9CMDM0MEVFRDdBNUZEQzVEOUY0RDdDNDF/GN0I1MUFFRUIxQTI5Q0VDRDFGRUE4Q0JFQjhDNjQ4QkVGRkQ3OEYwLmpwZw.jpg," "
Koffiebonen Espresso Extra Dark Roast,12,https://www.lidl.nl/p/koffiebonen-espresso-extra-dark-roast/p175045,https://imgproxy-retcat.assets.schwarz/pdKLf0Z84TKoQJG6ZEKD3dQ1xbqrfYaJrNAgnQDvJpQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8yNTBGQkM3RTEyRTk5Q0JBODczMDcwNzV/EODVDRUQ1NTZDQjJFNTgwNUEwQ0MyQzg0NjVDNjk5ODQ1NkU2MTlGLmpwZw.jpg," "
Koffiebonen Crema,12,https://www.lidl.nl/p/koffiebonen-crema/p43388,https://imgproxy-retcat.assets.schwarz/MC2hBzEuHCW1RDlbQARHaEcXJNyi40pU6zbIi35giaQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS9GMUMzMDlFRDFDRTMzNkRCMDJEQzI4M0N/CNjhFRTNBRTVBMTZBQUI0MTY3MDE1OUM3MzhEOEYyRTBFRTlBQTcxLmpwZw.jpg," "
Koffiebonen Goud Crema,12,https://www.lidl.nl/p/koffiebonen-goud-crema/p150472,https://imgproxy-retcat.assets.schwarz/FuaJwTNvHuGg3Y0k65F_9zv97MZ9q2Z4kLn7BfbZlCY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS9DRDIyMTNCNzBFRkEwMDc1NEM0RjAzMUI/wQjEyNjI1Nzg4OUJCQjFBREY3MkJGNzUxM0I5REUyQTVBRDg3REE4LmpwZw.jpg," "
Filterkoffie goud,12,https://www.lidl.nl/p/filterkoffie-goud/p174627,https://imgproxy-retcat.assets.schwarz/_-E8uTWfFNCMEV1LcYHJyqIHmJsDf06asiqZfYl6JxE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS83M0MyODI5ODM5REE5QkQ5QTgwODNGNDd/EOTU0MzZFOTM1MTFEMThGMjdGMzVCN0U4QjcyMjE5RjhFOUQ4RDk4LmpwZw.jpg," "
Filterkoffie rood,12,https://www.lidl.nl/p/filterkoffie-rood/p1258,https://imgproxy-retcat.assets.schwarz/TggRHDdb1LvgFFnuxruMgd1Er0YkLpB0e8fJoUm80pY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8yNzc0RUY4OEJDNDQ0RjFGNURCQkVGNzM/1NDQ0OTgyMkFEOENGRDhDNTEwNDQxMzRGRUE5MTk0RTgwOENDMTkxLmpwZw.jpg," "
Filterkoffie cafeïnevrij,12,https://www.lidl.nl/p/filterkoffie-cafeinevrij/p136812,https://imgproxy-retcat.assets.schwarz/Ub_FblBH2gwklrkDbV4KMFuIZs9nTY97SPIRJfveqjs/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8zRDg0RUU2MERBMjk1OUEwNzE0OTEyN0F/FMEFBNkNFNENGNzVFNzU1QUM5OTgxMUFFRjM2MDgzOTI4RTgyREVFLmpwZw.jpg," "
Koffiepads mild,12,https://www.lidl.nl/p/koffiepads-mild/p10000285,https://imgproxy-retcat.assets.schwarz/r-92u-05m8X2lxSUu91CLM-eEOVXPp-BDZu0HemUK_g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8zREM1RUEyQ0I4RTUwRDZBN0VCMzUyMUU/4MDU2OUQ2NzRGQzI2OEJEODQ1REUwM0RFQzlDOTQyN0M3QTVDRTJGLmpwZw.jpg," "
Koffiepads regular,12,https://www.lidl.nl/p/koffiepads-regular/p182682,https://imgproxy-retcat.assets.schwarz/8HwFiJvkiCLSu__0dK9kJ94JkhcGjlD-8e3Jr_VlyPs/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS81OTFGRTU3NDY3NTE1MEZCNDM4MURBMTE/1QjQ0QjZFQTUzOEZCRjgzM0NCMEVERDdDNzlDMDNFNDY1OUQyOThELmpwZw.jpg," "
Koffiepads dark roast,12,https://www.lidl.nl/p/koffiepads-dark-roast/p182681,https://imgproxy-retcat.assets.schwarz/8rx8szBdaEx6tos7FhykTuYWol5ryX_AiL51APSRrM8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS9DRTRGOTU2OTY2N0FGNkRFQzM0Mjg3MzM/5NUI0QjQyQkEwRDUxRjRDNEVCODhEREI1QUFGOUY4NjUyMUFDRDIxLmpwZw.jpg," "
Koffiepads mokka,12,https://www.lidl.nl/p/koffiepads-mokka/p182680,https://imgproxy-retcat.assets.schwarz/arHKbFoZt63lC4Qz7mOonRJ4-ndUc4SnWxduiyqrG1A/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8zRjYyQTlFQ0M1MDVCNTYxODFCNkJBMkN/FRDc4NEEyNkQ5MzcyMjQ3MUYzREI3NzZCNEZBMjEzRTMxQzBCNUVCLmpwZw.jpg," "
Koffiepads decafe,12,https://www.lidl.nl/p/koffiepads-decafe/p182685,https://imgproxy-retcat.assets.schwarz/WrKVgdzPBp6TXHJA4uvLd62IuZduqaothUZ69GRA48M/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8yN0VBODUxRjk0RDMzNDNGRjM4NUY0QTR/EQkU3RDY3NTQzOEU3MUM5Njc0N0Y0RkQ3MUEzMjFERkExREJCOTIxLmpwZw.jpg," "
Koffiepads extra dark,12,https://www.lidl.nl/p/koffiepads-extra-dark/p182683,https://imgproxy-retcat.assets.schwarz/QbpFdH32JPDi_DIwOIbHNflBcgzAKtO3GFgDJZt-lkQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS8yMDBCM0YxMzA3NEMyMDg0N0U0N0ZBNjQ/5OEEwNkNFMDI4RDBGRjQ1M0UyQ0E3QTgxNzQ1RTJDODlBOUY1RjczLmpwZw.jpg," "
Koffiecups cappuccino,12,https://www.lidl.nl/p/koffiecups-cappuccino/p142602,https://imgproxy-retcat.assets.schwarz/YVsyKQoN_6s4kXtcpsqZdbS_JAvGHm1H8x-0AFkCNog/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbmwvMS82RTRCQjYwMkM5NTlGMjkzMzVFQTQ5OUI/5QjBEMzNDMTZDNzU2REI2RjY3RUU4MzEzMEZFNkU1QjJDMDE1Q0U2LmpwZw.jpg," "
