name,producer,href,image_url,description
Sleepytime,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-classic-herbal-tea,https://celestialseasonings.com/cdn/shop/products/ST_3D_lg_300x300.png?v=1623436244,"This most beloved of herbal teas gets its comforting aroma and perfectly balanced flavor from a blend of soothing herbs, including delicate chamomile, cool spearmint and fresh lemongrass. Wind down your day with Sleepytime® tea!
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Decaf Lemon Jasmine,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-decaf-lemon-jasmine-green-tea,https://celestialseasonings.com/cdn/shop/products/STLJGT_3D_shop_300x300.png?v=1623363319,"Smooth decaf green tea, lively lemon and fragrant jasmine meet our time-honored Sleepytime® blend of chamomile, spearmint and lemongrass. We've also added antioxidant Vitamin C to support your everyday wellness.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Detox,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-detox,https://celestialseasonings.com/cdn/shop/products/STDetox_3D_lg_300x300.png?v=1620657531,"This restorative tea starts with our Classic Sleepytime® blend of chamomile, spearmint and other soothing herbs. We then add aloe, green rooibos and dandelion root to gently encourage the body’s natural process of detoxing.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Echinacea Immune Boost,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-echinacea-immune-boost-wellness-tea,https://celestialseasonings.com/cdn/shop/products/STEIB_3D_Lg_300x300.png?v=1623795741,"Support your natural defenses with a great-tasting blend of echinancea and other botanicals, plus Vitamin C and zinc.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Extra,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-extra-wellness-tea,https://celestialseasonings.com/cdn/shop/products/STE_3D_lg_300x300.png?v=1620657781,"This relaxing herbal tea starts with our time-honored Sleepytime® blend of chamomile, spearmint and other soothing herbs. We then add valerian, long trusted as a natural sleep aid, for an especially calming cup.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Herbal Tea K-Cup Pods,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-herbal-tea-k-cup-pods,https://celestialseasonings.com/cdn/shop/products/12CT_ST_Group_300x300.png?v=1624038439,"This most beloved of herbal teas gets its comforting aroma and perfectly balanced flavor from a blend of soothing herbs, including delicate chamomile, cool spearmint and fresh lemongrass. Wind down your day with Sleepytime® tea!
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Honey,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-honey,https://celestialseasonings.com/cdn/shop/products/sth_3d_lg_300x300.png?v=1623777719,"Just the right amount of honey flavor, aroma and sweetness joins our time-honored Sleepytime® blend of chamomile, spearmint and lemongrass to create this calming brew. Wind down your day with Sleepytime.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Lavender,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-lavender-herbal-tea,https://celestialseasonings.com/cdn/shop/products/STL_3D_lg_300x300.png?v=1623436636,"We’ve added aromatic lavender to our time-honored blend of calming herbs like chamomile, spearmint and lemongrass. This Sleepytime blend is our version of a lovely, lavender lullaby.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Melatonin,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-melationin,https://celestialseasonings.com/cdn/shop/files/STMel_3D_Lg_300x300.png?v=1686603126,"This relaxing tea starts with our beloved Sleepytime® blend of soothing chamomile and spearmint. We then add melatonin to help with occasional sleeplessness and to put you on the path toward a good night's rest.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food & Drug Administration.This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Mint,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-mint-tea,https://celestialseasonings.com/cdn/shop/products/STM_3D_lg_300x300.png?v=1623436707,"We’ve added pure peppermint leaves to our original Sleepytime® blend of spearmint, chamomile and other relaxing herbs. The result is a cool and calming medley of mints that’s especially enjoyable after your evening meal.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Peach,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-peach-herbal-tea,https://celestialseasonings.com/cdn/shop/products/STP_3D_lg_300x300.png?v=1623436787,"This calming herbal tea combines the flavor of ripe yellow peaches with our soothing Sleepytime® blend of herbs and botanicals, including chamomile, spearmint, lemongrass and more. Wind down your day with Sleepytime®.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Probiotics,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-probiotics,https://celestialseasonings.com/cdn/shop/products/STPro_3D_lg_300x300.png?v=1658948210,"Enhance your nightly routine with the calming herbs and essential ingredients in Sleepytime® Probiotics. This soothing tea features our beloved Sleepytime® blend of spearmint, chamomile and lemongrass, plus probiotics to nourish your body.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Sleepytime Sinus Soother,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-sinus-soother-wellness-tea,https://celestialseasonings.com/cdn/shop/products/STSS_lg_300x300.png?v=1623436892,"This soothing tea blends tulsi, long trusted to promote respiratory comfort, and stinging nettle, traditionally used when mild congestion occurs. Chamomile, spearmint and lemongrass are added for extra comfort.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Throat Tamer,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-throat-tamer-wellness-tea,https://celestialseasonings.com/cdn/shop/products/STTT_lg_300x300.png?v=1623702664,"This special blend features licorice root and slippery elm bark to coat and soothe the throat, plus calming herbs and botanicals like spearmint, chamomile, lemongrass and ginger for a comforting aroma and flavor.*
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
*These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Sleepytime Vanilla,15,https://celestialseasonings.com//collections/sleepytime-tea/products/sleepytime-vanilla-herbal-tea,https://celestialseasonings.com/cdn/shop/products/cel-516542_300x300.png?v=1620657805,"We added the creamy flavor of rich vanilla to our original Sleepytime® blend of floral chamomile, cool spearmint and lively lemongrass. Wind down your day with Sleepytime.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Authentic Green,15,https://celestialseasonings.com//collections/green-tea/products/authentic-green,https://celestialseasonings.com/cdn/shop/products/AGT_3D_shop_300x300.png?v=1623362231,"Green tea leaves are quickly dried after the harvest to preserve their vibrant color and naturally occurring flavonoid antioxidants. The pure green leaf is complemented by an infusion of Bai Mu Dan white tea for a smoother cup. Plus, we've added antioxidant Vitamin C to support your everyday wellness.
"
Candy Cane Lane,15,https://celestialseasonings.com//collections/green-tea/products/candy-cane-lane,https://celestialseasonings.com/cdn/shop/products/18ct_CCL_3D_300x300.png?v=1655234755,"Our spirited holiday blend starts with decaffeinated green tea and adds seasonal flavors like cool peppermint, creamy vanilla and a dash of cinnamon.
"
Cold Brew Green Tea,15,https://celestialseasonings.com//collections/green-tea/products/cold-brew-green-tea,https://celestialseasonings.com/cdn/shop/products/CB_GT_Shop_300x300.png?v=1657918865,"Lively notes of lemongrass and citrus fruits harmoniously blend with cool mint to make this iced green tea extra smooth and refreshing.
Brew one glass at a time with our convenient cold water steeping method - no boiling required!
"
Decaf Green,15,https://celestialseasonings.com//collections/green-tea/products/decaf-green-tea,https://celestialseasonings.com/cdn/shop/products/DGT_3D_shop_300x300.png?v=1623362840,"Green tea leaves are quickly dried after the harvest to preserve their vibrant color and naturally occurring flavonoid antioxidants. This decaf green tea is complemented by an infusion of decaf white tea for a smoother cup. Plus, we've added antioxidant Vitamin C to support your everyday wellness.
"
Energy Green,15,https://celestialseasonings.com//collections/green-tea/products/green-energy-green-tea,https://celestialseasonings.com/cdn/shop/products/CS_12CT_ETGT_3D_1024px_test_300x300.png?v=1623269779,"With as much caffeine as a cup of coffee, this blend offers an extra boost of energy- perfect for getting you out of bed in the morning, or getting you out of a mid-day slump. Its sweet peach profile makes this Green Tea equally as delicious as it is energizing.
This product is not intended or recommended for children and those sensitive to caffeine. Pregnant or nursing women, those with a medical condition, and those taking medication should consult a healthcare professional before use.
"
Fair Trade Green Tea K-Cup Pods,15,https://celestialseasonings.com//collections/green-tea/products/fair-trade-green-tea-k-cup-pods,https://celestialseasonings.com/cdn/shop/products/12CT_FTGT_Group_300x300.png?v=1624038281,"Good health. Great taste. Green tea leaves come from the same plant as traditional black tea, but are quickly dried to preserve their vibrant color and natural antioxidants. This blend brings together two delicious, Fair Trade Certified™ teas – authentic green tea and delicate Bai Mu Dan white tea – to create a smooth, balanced cup with a pleasantly mild flavor.
"
Ginger Green,15,https://celestialseasonings.com//collections/green-tea/products/ginger-green-tea,https://celestialseasonings.com/cdn/shop/products/GGT_3D_shop_300x300.png?v=1623362997,"This blend begins with a rich and balanced blend of green tea leaves, and gets a big kick from earthy, spicy ginger - a potent botanical long treasured as an aid to digestion.
"
Green Tea Sampler,15,https://celestialseasonings.com//collections/green-tea/products/green-tea-sampler,https://celestialseasonings.com/cdn/shop/products/GTS_3D_shop_300x300.png?v=1623364441,
Honey Lemon Ginseng,15,https://celestialseasonings.com//collections/green-tea/products/honey-lemon-ginseng-green-tea,https://celestialseasonings.com/cdn/shop/products/HLGGT_3D_shop_300x300.png?v=1623363095,"This spirited blend brings together traditional green tea, rare and delicate white tea for smooth taste, and a lively combination of botanicals for eye-opening flavor. We've also added antioxidant Vitamin C to support your everyday wellness.
"
Immune Support,15,https://celestialseasonings.com//collections/green-tea/products/antioxidant-green-tea,https://celestialseasonings.com/cdn/shop/products/ISGT_3D_shop_300x300.png?v=1623363137,"This smooth blend of authentic green tea and delicate white tea provides all the benefits of green tea and great taste. It has added Vitamin A and antioxidant Vitamin C plus a breezy citrus sweetness reminiscent of old-fashioned lemonade.
"
Matcha Green,15,https://celestialseasonings.com//collections/green-tea/products/matcha-green-tea,https://celestialseasonings.com/cdn/shop/products/MGT_3D_shop_300x300.png?v=1623363189,"High-quality sencha-style green tea leaves gives this tea a fresh, slightly grassy character, while pure Japanese matcha green tea powder provides a vibrant color and distinctively rich green tea taste.
"
Probiotic Green,15,https://celestialseasonings.com//collections/green-tea/products/authentic-green-probiotics-green-tea,https://celestialseasonings.com/cdn/shop/products/PBGT_3D_shop_300x300.png?v=1623363263,"Our Authentic Green Probiotic Tea features robust flavor and active ingredients to support the body. The combination of probiotics, pan-fired green tea and white tea work together to create a nourishing blend, while antioxidant Vitamin C offers extra support.
"
Sleepytime Decaf Lemon Jasmine,15,https://celestialseasonings.com//collections/green-tea/products/sleepytime-decaf-lemon-jasmine-green-tea,https://celestialseasonings.com/cdn/shop/products/STLJGT_3D_shop_300x300.png?v=1623363319,"Smooth decaf green tea, lively lemon and fragrant jasmine meet our time-honored Sleepytime® blend of chamomile, spearmint and lemongrass. We've also added antioxidant Vitamin C to support your everyday wellness.
Sleepytime is the original bedtime tea. More than 40 years ago, we created a truly soothing herbal tea to help folks wind down the day. Today, our calming Sleepytime blend of botanicals is available in herbal, decaf green and wellness teas, so you can always find the perfect cup for your bedtime routine.
"
Teahouse Organic Matcha Green,15,https://celestialseasonings.com//collections/green-tea/products/teahouse-organics-matcha-green,https://celestialseasonings.com/cdn/shop/products/TH_MG_3D_shop_300x300.png?v=1623365417,"Fresh and slightly sweet sencha-style green tea blended with traditionally prepared matcha green tea powder results in a vibrant and uplifting cup of green tea.
Savor a true teahouse experience at home with Celestial Seasonings Teahouse blends. Handcrafted in Boulder, Colorado by our expert Blendmaster using organic ingredients, these inspired blends are the culmination of the 50 years we've spent perfecting our craft. We invite you to join us at the Teahouse and discover a perfect blend.
"
Teahouse Organic Pure Green,15,https://celestialseasonings.com//collections/green-tea/products/teahouse-organics-pure-green,https://celestialseasonings.com/cdn/shop/products/TH_PG_3D_shop_300x300.png?v=1623365464,"Our traditionally prepared green tea has a pure and simple taste. Subtly sweet sencha-style green tea is perfectly balanced by a toasty green tea for a blend you’ll enjoy sip after sip.
Savor a true teahouse experience at home with Celestial Seasonings Teahouse blends. Handcrafted in Boulder, Colorado by our expert Blendmaster using organic ingredients, these inspired blends are the culmination of the 50 years we've spent perfecting our craft. We invite you to join us at the Teahouse and discover a perfect blend.
"
TeaWell Energy,15,https://celestialseasonings.com//collections/green-tea/products/teawell-energy,https://celestialseasonings.com/cdn/shop/products/TW_Energy_3D_shop_300x300.png?v=1623794859,"Refreshing spearmint flavor is paired with organic guayusa, green tea, and caffeine to provide uplifting and balanced energy.*
At TeaWell, we believe in blending flavor and function. That's why we thoughtfully balance nourishing ingredients with flavorful herbs and botanicals that have been traditionally used to support your body and mind. We're on a mission to make wellness delicious.
*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
TeaWell Organic Matcha Green,15,https://celestialseasonings.com//collections/green-tea/products/teawell-organic-matcha-green,https://celestialseasonings.com/cdn/shop/products/TW_MG_3D_shop_300x300.png?v=1623441545,"Invigorating matcha and smooth sencha green tea pair with moringa and our Daily Wellness Core, a foundational blend of traditionally used herbs and botanicals for all-in-one wellbeing.
Supports Immune Health*
At TeaWell, we believe in blending flavor and function. That's why we thoughtfully balance nourishing ingredients with flavorful herbs and botanicals that have been traditionally used to support your body and mind. We're on a mission to make wellness delicious.
*These statements have not been evaluated by the Food & Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
"
Bengal Spice,15,https://celestialseasonings.com//collections/herbal-tea/products/bengal-spice-herbal-tea,https://celestialseasonings.com/cdn/shop/products/BS_3D_lg_300x300.png?v=1620657867,"Brimming with cinnamon, ginger, cardamom and cloves, this adventurous blend is our caffeine-free interpretation of chai, the piquant Indian brew traditionally made with black tea. Try it with milk and sugar for a true chai experience.
"
