name,producer,href,image_url,description
Matcha Green Tea 15 Tea Bags,10,https://www.lipton.com//us/en/our-teas/matcha-green-tea/,https://images.ctfassets.net/e8bhhtr91vp3/1gO06SI4mwzA31SOqrkxav/b4a7e4e184a25542478a056bb7fbbd94/Product_img.webp?w=800&q=100,"Legend has it that Buddhist monks used Matcha to enhance their focus for long hours of meditation, and to be alert and present in the moment. Today's Matcha leaf comes from shade grown green tea whose chlorophyll-rich leaves are finely ground into a brilliant green powder, prized for its abilities."
Black Teas,10,https://www.lipton.com//us/en/our-teas/black-tea/,https://images.ctfassets.net/e8bhhtr91vp3/u57hlD2mehS7ea03vStqA/089503b587b8bfc320b196a0a478f300/black_tea_Product_Image.png?w=800&q=100,"Our Master Blenders have crafted a delicious blend that includes carefully selected and fresh-pressed tea leaves, capturing as much natural tea taste as possible. Lipton Black Tea has real tea leaves specially blended to enjoy hot or iced. Enjoy Lipton Black Tea iced as the perfect addition for any of your meals because is naturally tasty and refreshing. Don’t just default to the usual, enjoy the superior taste of fresh-brewed Lipton tea. It’s the Lipton Difference, so take a sip and let our tea brighten your day."
Lipton Green Tea 20 Tea Bags,10,https://www.lipton.com//us/en/our-teas/green-tea/,https://images.ctfassets.net/e8bhhtr91vp3/3kitavJjTM8JBPetd0oLxO/2acba016479009c57d32373e90aaba34/Product_img-rev.webp?w=800&q=100,"Lipton Green Tea bags have a delightfully light, fresh, and non-bitter taste that is simply delicious. Make yourself a cup of uplifting goodness with the naturally light and fresh taste of Lipton Green tea. "
Decaf Herbal Black Tea Bags,10,https://www.lipton.com//us/en/our-teas/decaf-black-tea/,https://images.ctfassets.net/e8bhhtr91vp3/5sUzCWKYGAEKkwxvROe4OF/a90952e66157695a6e0449f3845dcbc6/04127107.01.webp?w=800&q=100,"Lipton® Black Teas are decaffeinated using a natural process that retains most of the flavonoids and all the pure, clean, classic tea flavor."
Orange Passionfruit Jasmine Green Tea Bags,10,https://www.lipton.com//us/en/our-teas/orange-passionfruit-jasmine-green-tea/,https://images.ctfassets.net/e8bhhtr91vp3/6ytRw2P3tbyTzHr5GSBPjO/6c72c685c4c440e7d550c62e8d951c29/041000008429.01-36624622-png.png.ulenscale.270x270.png?w=800&q=100,"Lipton Orange Passionfruit Jasmine Green Tea has a smooth great taste and refreshing aroma. Our tea leaves are picked at the peak of flavor and then blended with flavors of citrus, passionfruit and jasmine to give you the perfect cup. Conveniently packaged in 20 individually wrapped tea bags, Lipton Orange Passionfruit Jasmine Green Tea is uplifting when enjoyed hot or refreshing when enjoyed as an iced tea."
Stress Therapy Herbal Supplement 15 Tea Bags,10,https://www.lipton.com//us/en/our-teas/stress-therapy-herbal-supplement/,https://images.ctfassets.net/e8bhhtr91vp3/6IYpXGsywCuBgxh32HEpgK/09885c320439cf2209fc487564cccccf/041000003660-863654-png.jpg?w=800&q=100,"Relax, rewind, then press play again with Lipton Stress Therapy Caffeine-Free Herbal Supplement, containing cinnamon, chamomile, and lavender. Stress Therapy is a comforting, cozy herbal infusion to help you unwind*. Carefully selected botanicals are blended with lavender essential oil that make every cup delicious. Enjoy a daily cup or two of Lipton Stress Therapy to supplement your varied, balanced diet. For the perfect cup, brew tea bag 4-6 minutes in freshly boiled water. Wellbeing by Lipton. Feel Happy & Healthy. *This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease"
Bedtime Bliss Herbal Supplements 15 Tea Bags,10,https://www.lipton.com//us/en/our-teas/bedtime-bliss-herbal-supplement/,https://images.ctfassets.net/e8bhhtr91vp3/313T6Quwd0vHN1nfCRVwQn/8aecd517bcfaf86c78142b2783623c0c/bedtime_bliss_still.webp?w=800&q=100,"Embrace your sweetest dreams and brightest mornings with the Lipton Bedtime Bliss Caffeine-Free Herbal Supplement, containing chamomile, mint, and orange peel. Bedtime Bliss is an herbal infusion that sings you to sleep, like a lullaby in a cup*. Carefully selected botanicals are blended with chamomile essential oil that make every cup delicious. Enjoy a nightly cup of Lipton Bedtime Bliss to supplement your varied, balanced diet. For the perfect cup, brew tea bag 4-6 minutes in freshly boiled water. Wellbeing by Lipton. Feel Happy & Healthy. *This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease"
Lipton Terrific Turmeric 15 Tea Bags,10,https://www.lipton.com//us/en/our-teas/lipton-terrific-turmeric/,https://images.ctfassets.net/e8bhhtr91vp3/5knvVkfGbq4EuennhbgMdR/3f09fad54e8c3d113df9ee2a65dacfee/Product_img__1_.webp?w=800&q=100,"Send in the soothing with Lipton Terrific Turmeric herbal tea featuring turmeric, ginger & orange. For centuries, the Ayurvedic tradition has praised Turmeric for its role in aiding digestion and supporting joint movement. Our Turmeric comes from a curcumin-rich root that is finely ground into a golden orange powder and enjoyed for its earthy taste and restorative benefits. Take a Turmeric time out. Reset and restore while you enjoy a daily cup or two. For the perfect cup brew 4-6 minutes in freshly boiled water. For a refreshingly cool take, add ice. Enjoy! Wellbeing by Lipton, a cup a day for well-being your way."
Lemon Ginseng Green Tea 20 Tea Bags,10,https://www.lipton.com//us/en/our-teas/lemon-ginseng-green-tea/,https://images.ctfassets.net/e8bhhtr91vp3/3PFjNJ3jmG8uFmgYhqc7u2/0f739d1feebcc27a34fef4d566cf5ac0/Product_img.webp?w=800&q=100,"Lipton Lemon Ginseng Green Tea has a smooth great taste and refreshing aroma. Our tea leaves are picked at the peak of flavor and then blended with the zesty tastes of lemon and ginseng so you can enjoy the perfect cup. Conveniently packaged in 20 individually wrapped tea bags, Lipton Lemon Ginseng Green Tea is uplifting when enjoyed hot or refreshing when enjoyed as an iced tea"
Matcha Green Tea with Ginger 15 Tea Bags,10,https://www.lipton.com//us/en/our-teas/matcha-green-tea-and-ginger/,https://images.ctfassets.net/e8bhhtr91vp3/7Es0x6caJGKwwgi9ZCYwZu/b2fa340b80dbf1a548935d3dc1e7f231/Product_img.webp?w=800&q=100,"Legend has it that Buddhist monks used Matcha to enhance their focus for long hours of meditation, and to be alert and present in the moment. Today's Matcha leaf comes from shade grown green tea whose chlorophyll-rich leaves are finely ground into a brilliant green powder, prized for its abilities.Find your moment of focus with Lipton's Magnificent Matcha Ginger, green tea blended with pure Japanese Matcha and Ginger in pyramid tea bags. Enjoy the smooth, earthy taste of matcha balanced with the refreshing goodness of green tea and spicy ginger. Our tea blends are made with 100% natural, Rainforest Alliance™ certified tea leaves and matcha powder. It’s a refreshing and rounded sip with a smooth and mellow finish. Made with sunshine and rain, drink in the positivity of an enlivening Lipton Matcha with Green Tea and Ginger and be awake to what really matters.Thomas Lipton was a man on a mission – to share his passion for tea around the world. He believed that everyone deserved high quality, great tasting tea. And over 120 years later, that belief is still what drives us – inspiring more flavors, more varieties and more love than ever before.All our tea bags are 100% sustainably sourced, which translates into ensuring decent wages for tea farmers around the world together with access to quality housing, education and medical care. Your tea is their brighter future."
