name,producer,href,image_url,description
Perla Huisblends Classic koffiepads,19,https://www.ah.nl/producten/product/wi124423/perla-huisblends-classic-koffiepads,https://static.ah.nl/dam/product/AHI_43545239383031373836?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°In pads°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.
Perla Huisblends Aroma snelfiltermaling 2-pack voordeel,19,https://www.ah.nl/producten/product/wi171156/perla-huisblends-aroma-snelfiltermaling-2-pack-voordeel,https://static.ah.nl/dam/product/AHI_43545239363339353235?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°Snelfiltermaling°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVacuüm verpakt.
Perla Huisblends Lungo classic capsules,19,https://www.ah.nl/producten/product/wi481083/perla-huisblends-lungo-classic-capsules,https://static.ah.nl/dam/product/AHI_43545239373934303935?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Koffie°In capsules°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.Extra informatie  Perla en duurzaamheid - onze koffie wordt gemaakt met liefde en aandacht voor mens en milieu. De bonen worden duurzaam geteeld, gebrand en verpakt. Het hele perla assortiment is utz en klimaatneutraal gecertificeerd en onze doosjes zijn 100% recyclebaar. Lees meer op utz. Org en perla.nl."
Perla Huisblends Lungo dark capsules,19,https://www.ah.nl/producten/product/wi481154/perla-huisblends-lungo-dark-capsules,https://static.ah.nl/dam/product/AHI_43545239373934303932?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Koffie°In capsules°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.Extra informatiePerla en duurzaamheid - onze koffie wordt gemaakt met liefde en aandacht voor mens en milieu. De bonen worden duurzaam geteeld, gebrand en verpakt. Het hele perla assortiment is klimaatneutraal gecertificeerd en onze doosjes zijn 100% recyclebaar."
Perla Huisblends Dark roast koffiepads,19,https://www.ah.nl/producten/product/wi124424/perla-huisblends-dark-roast-koffiepads,https://static.ah.nl/dam/product/AHI_43545239383031373837?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°In padsVerpakt onder beschermende atmosfeer.
Perla Huisblends Extra dark roast koffiepads,19,https://www.ah.nl/producten/product/wi137823/perla-huisblends-extra-dark-roast-koffiepads,https://static.ah.nl/dam/product/AHI_43545239383031383334?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°In pads°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.
Perla Huisblends Mokka koffiepads,19,https://www.ah.nl/producten/product/wi130368/perla-huisblends-mokka-koffiepads,https://static.ah.nl/dam/product/AHI_43545239383031373838?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°In pads°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.
Perla Huisblends Aroma Snelfiltermaling,19,https://www.ah.nl/producten/product/wi1487/perla-huisblends-aroma-snelfiltermaling,https://static.ah.nl/dam/product/AHI_43545239383030303335?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Koffie°Snelfiltermaling°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVacuüm verpakt.
Perla Huisblends Decaf koffiepads,19,https://www.ah.nl/producten/product/wi130367/perla-huisblends-decaf-koffiepads,https://static.ah.nl/dam/product/AHI_43545239383031373839?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Cafeïnevrije koffie°In pads°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.
Perla Huisblends Espresso dark capsules,19,https://www.ah.nl/producten/product/wi481155/perla-huisblends-espresso-dark-capsules,https://static.ah.nl/dam/product/AHI_43545239373934303835?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Koffie°In capsules°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.orgVerpakt onder beschermende atmosfeer.Extra informatie  Perla en duurzaamheid - onze koffie wordt gemaakt met liefde en aandacht voor mens en milieu. De bonen worden duurzaam geteeld, gebrand en verpakt. Het hele perla assortiment is utz en klimaatneutraal gecertificeerd en onze doosjes zijn 100% recyclebaar. Lees meer op utz. Org en perla.nl."
