name,producer,href,image_url,description
Breathe In Tea,11,https://www.pukkaherbs.com/nl/nl/products/breathe-in-tea,https://images.ctfassets.net/jhcmej8zlqgw/2qBEkuWohhzjy70P44MFcC/877f34bad678add0b980def619175eaf/Breathe_In_Amazon_A__Primary_Hero_20_Sachets_Roundel.png?fm=webp&w=400&q=80,"Verfris je zintuigen met onze vakkundig samengestelde Breathe In thee. Vind een moment van verlichting met het verfrissende aroma van munt en eucalyptus, de verwarmende sensatie van gember en de kalmerende ondersteuning van honing. Adem de stoom in om op te frissen en drink om te verzachten. Koele munt en eucalyptus werken synergetisch samen om je adem weer te vinden, je zintuigen te zuiveren, terwijl de stimulerende effecten van gember de zintuigen verfrissen tijdens het pollenseizoen en je een verwarmende omhelzing geven om de kou buiten te houden. Perfect voor dagelijkse ondersteuning, geeft de honing onze blend een delicate zoete en geruststellende afdronk.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Joy,11,https://www.pukkaherbs.com/nl/nl/products/joy,https://images.ctfassets.net/jhcmej8zlqgw/3rtqYAW6JVtWXGAWE4Gxz3/8698f95facc5c3a8936e09c1e52c136f/Joy_hero_image.png?fm=webp&w=400&q=80,"Ervaar een opbeurend gevoel met onze vakkundig samengestelde Joy thee. Boordevol met de meest vreugdevolle ingrediënten, een pittige sinaasappelsmaak en verfrissende citroenkruiden worden in balans gebracht met de bloemige twist van lavendel en roos om een harmonieuze kop zonneschijn te creëren. Lavendel staat traditioneel bekend om het verlichten van emotionele zorgen, het bevorderen van vrolijke en kalmerende energie, terwijl het bloemige aroma van roos je hart opent en dagelijkse vreugde ondersteunt. Citroen verheft je stemming en geeft je een sprankeling, terwijl de citrussmaak de ziel verfrist.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Elderberry & Echinacea,11,https://www.pukkaherbs.com/nl/nl/products/elderberry-and-echinacea,https://images.ctfassets.net/jhcmej8zlqgw/6TbLkDO6mZcTYKuQMaIwCs/2927105776c0395407b7d315e1befb59/Elderberry_hero.png?fm=webp&w=400&q=80,"Goed nieuws om je te troosten en voor te bereiden op de ups en downs van het leven. Gemaakt met biologische vlierbessen, echinaceawortel en -blad. Blijf warm en gezond. Het toevluchtsoord wacht op je. Laat jezelf vallen in een diep bed van rijpe wilde vruchten: paars-zwarte vlierbessen, inktzwarte zwarte bessen - gezegend door de geurige FairWild vlierbloesem en aangeraakt door de tintelende tonen van echinacea. Veilig in je fruitige toevluchtsoord, zul je klaar zijn voor alles. Blijf warm en gezond.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Love,11,https://www.pukkaherbs.com/nl/nl/products/love,https://images.ctfassets.net/jhcmej8zlqgw/16hC0NyR0pkIxQe5A5N4pr/2ad947ebb7610b67b8105914052e7b2a/Love_hero_image.png?fm=webp&w=400&q=80,"Perfect voor een kalmerende kruidenomhelzing, deze bloemenmix in een kopje is vakkundig samengesteld met kamille, roos, vlierbloesem, lavendel, lindebloesem en goudsbloem. Deze zachte en delicate blend is gemaakt met de hoogste kwaliteit, biologische ingrediënten die met zorg ethisch zijn verkregen van over de hele wereld. Open je hartgebied en voel de liefde bij elke voedzame slok.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
"Chamomile, Vanilla & Manuka Honey",11,https://www.pukkaherbs.com/nl/nl/products/chamomile--vanilla-and-manuka-honey,https://images.ctfassets.net/jhcmej8zlqgw/5HrMkaHkTKtV1pvyo4CL1t/78abf731999522d052a737e109388678/Cham_Van_Man_hero_new.png?fm=webp&w=400&q=80,"Voel je kalm met onze vakkundig samengestelde Chamomile, Vanilla & Manuka Honey thee. Elke composteerbare theezak zit boordevol essentiële oliën en de hoogste kwaliteit kruiden, speciaal geselecteerd vanwege hun ontspannende eigenschappen. Het perfecte kopje om de geest en het lichaam te kalmeren, ontspan met elke rustgevende slok en geniet van de wolkeloze luchten. Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Three Chamomile,11,https://www.pukkaherbs.com/nl/nl/products/three-chamomile,https://images.ctfassets.net/jhcmej8zlqgw/42l6YTV9hMTeyOddiXBDGL/286e7ed8896856e9b4d19f1bf08a8f06/24454_11996_Three_Chamomile_DTC_Hero_Image.png?fm=webp&w=400&q=80,"Een blend met kamilleVan nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
"Lemon, Ginger & Manuka Honey",11,https://www.pukkaherbs.com/nl/nl/products/lemon--ginger-and-manuka-honey,https://images.ctfassets.net/jhcmej8zlqgw/vmUO8qHo8NP99JFwlh6t7/51c8e99a809e0c8dfb52923600c713b6/Lem__gin__man_hero.png?fm=webp&w=400&q=80,"Voor heerlijke dagelijkse ondersteuning hoef je niet verder te zoeken dan onze vakkundig samengestelde Citroen, Gember en Manukahoning thee. Gemaakt met verwarmende kruiden zoals gember, kurkuma, citroen en kalmerende manukahoning, is deze blend een heerlijke kruidenomhelzing gedurende het hele jaar, vooral om eventuele rillingen te verdrijven. De perfecte manier om jezelf op de been te houden wanneer het leven je even uitput.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Supreme Matcha Green,11,https://www.pukkaherbs.com/nl/nl/products/supreme-matcha-green,https://images.ctfassets.net/jhcmej8zlqgw/3S0rJEQ5RljWovt9qOf5Qc/20f672a2c9ecdf76f4c8b7330bfb1058/20740_Supreme_Green_Match___Shopper_Hero_Image.png?fm=webp&w=400&q=80,"Ondersteun dagelijkse vitaliteit met onze vakkundig samengestelde Supreme Matcha Green thee. Gemaakt met de hoogste kwaliteit, 100% biologische ingrediënten zoals matchapoeder en drie soorten hele bladgroene thee, is deze krachtige blend perfect voor dagelijkse vitaliteit.
Gecreëerd door kruidenkenners en voedingsdeskundigen, combineert onze Supreme Matcha Green-thee de nieuwste wetenschappelijke inzichten met traditionele kruidenwijsheid om op natuurlijke wijze je geest en lichaam te ondersteunen. Het perfecte kopje om je ochtenden kracht bij te zetten.Breng de kruiden tot leven door de thee tot 15 minuten te laten trekken. Pukka is aangesloten bij 1% for the Planet en Fair for Life gecertificeerd."
Three Licorice,11,https://www.pukkaherbs.com/nl/nl/products/three-licorice,https://images.ctfassets.net/jhcmej8zlqgw/1QmokMAzugfvRjglXLbAim/7038bdfb141e1204dfed64d94e526582/three_licorice_hero_new.2.png?fm=webp&w=400&q=80,"Geniet op ieder moment van de heerlijke smaak van zoethout.Van nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
Mint Refresh,11,https://www.pukkaherbs.com/nl/nl/products/mint-refresh,https://images.ctfassets.net/jhcmej8zlqgw/1uTF0ENzIPTd0pPpvhD3hn/b413b49cd2101147da9472f8e366874e/Mint_refresh_hero_image_new.2.png?fm=webp&w=400&q=80,"Een blend met pepermunt, zoethout, venkel, hibiscus, rozenbloesem en korianderVan nature cafeïnevrij, duurzaam verbouwd en 100% biologisch geteeld ingrediënten.Pukka is aangesloten bij 1% for the Planet. Dit product is Fair for Life & Fair Wild gecertificeerd.Breng de heerlijke kruiden tot leven door ze tot 15 minuten in vers gekookt water te laten trekken.Een doosje bevat 20 individueel verpakte theezakjes die volledig biologisch afbreekbaar zijn."
