name,producer,href,image_url,description
Buttermint  20 Tea Bags,17,https://twinings.co.uk/products/buttermint-20-tea-bags,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Buttermint-20-Single-Tea-Bags_540x.jpg?v=1631009983,"What does it taste like?A delicious harmony of peppermint leaves in all their fresh-tasting glory, blended with a hint of toffee and vanilla notes for a dreamy satin-soft Buttermint finish. The creamy sweetness will take you back to the nostalgic flavours of a charming little sweet shop.How do I drink it?Using one bag per person, pour on boiling water and infuse for two to three minutes. Leave for a little longer if you prefer a stronger taste."
Superblends Sleep  20 Envelopes,17,https://twinings.co.uk/products/superblends-sleep-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/files/ProductImageTemplate1600x1600_43_4eefe87c-6666-491b-b45e-e33c40c7564f_540x.jpg?v=1692776818,"Switch off and discover the blend of your dreamsSpiced Apple and Vanilla Flavoured Herbal Infusion with Camomile and Passionflower.This delicious blend combining camomile, passionflowers, apple and vanilla flavourings is smooth and warming, making it the perfect part of your bedtime routine. Take your last sip and sink your head into a soft pillow.What does Superblends Sleep taste like? This is a deliciously smooth and serene blend. The apple & vanilla flavourings and the camomile bring a touch of comforting sweetness, with a dash of cinnamon-reminiscent of apple pie and Vanilla.  Part of our Superblends range - Our delicious range of benefit-led green teas and infusions, expertly blended with an added botanical, vitamin or mineral to support your everyday wellbeing."
Superblends Immune Support  20 Envelopes,17,https://twinings.co.uk/products/superblends-immune-support-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Superblends-Immune-Support-Front_540x.jpg?v=1631093118,"Blackcurrant, Raspberry and Strawberry flavoured Herbal Infusion with Echinacea Root, Elderberries and added Vitamin D. This blend has been crafted with all of you go-getters in mind. We've added Vitamin D to support the normal function of the immune system. Enjoy the deliciously comforting flavours of Elderberry, blackcurrant & Raspberry, helping you stay one step ahead.  + Vitamin D supports the normal function of the immune system.What does it taste like?A juicy, sweet layered blend of forest fruits infused with a touch of sharpness from the hibiscus & uplifting woody notes from the Echinacea. A deliciously balanced blend that is naturally caffeine free.  Part of our Superblends range - Our delicious range of benefit-led green teas and infusions, expertly blended with an added botanical, vitamin or mineral to support your everyday wellbeing."
Superblends Wellbeing Collection  20 Envelopes,17,https://twinings.co.uk/products/superblends-wellbeing-collection-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Superblends-Wellbeing-Collection-front-nl_540x.jpg?v=1657877693,"A selection of green teas and infusions.This fabulous selection box contains five favourites from our Superblends range. Each flavour has it's own specific benefit to help support your everyday wellbeing.This Wellbeing Collection contains a total of 20 individually wrapped envelopes from the following blends:4 x Defence + Vitamin C- Supports the normal function of the immune system.4 x Glow + Biotin- Contributes to the maintenance of normal skin and hair.4 x Digest - Spearmint, apple & rooibos with baobab  4 x Detox + Selenium- Contributes to the protection of cells from oxidative stress.4 x Sleep - Spiced Apple and Vanilla with Camomile & Passionflowers Part of our Superblends range - Our delicious range of benefit-led green teas and infusions, expertly blended with an added botanical, vitamin or mineral to support your everyday wellbeing."
Spicy Chai  40 Tea Bags,17,https://twinings.co.uk/products/spicy-chai-40-tea-bags,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/Spicy-Chai-40-Tea-Bags-Front_540x.jpg?v=1677495610,"Spice Flavour Black Tea.  What does it taste like?  Think cinnamon, clove and ginger. With the echoes of familiar tea and a flavour that lasts in your mouth.  Where does it come from?  Chai started in India‚by infusing spices and tea leaves in milk. It's usually a recipe that's been passed down from mother to daughter, generation by generation. Each house will have its own chai flavour and this one's our favourite.  What makes this tea different? This delightful blend combines aromatic spices of ginger and cinnamon on a thick, strong Assam tea base."
Superblends Sleep Valerian & Orange Blossom  20 Envelopes,17,https://twinings.co.uk/products/superblends-sleep-valerian-orange-blossom-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/Twinings-Superblends-Sleep-Valerian-Orange-Blossom-Front2_540x.jpg?v=1671030676,"Blood Orange flavoured Herbal Infusion with Orange Blossom, Camomile, Passionflower, Lavender and Valerian.This blend is the perfect wind down partner, the bedtime hero of your night-time routine. We've combined gentle Orange Blossom & Lavender with Passionflower & Valerian to create this dreamy blend. Slip on your super soft socks, bathe in cosy candlelight and sip a cup of comfort to your hearts content.What does it taste like?A deliciously light blend with floral orange flavours that is smooth and serene. The orange blossom provides a gentle sweetness which compliments the subtle fragrant lavender.Part of our Superblends range - Our delicious range of benefit-led green teas and infusions, expertly blended with an added botanical, vitamin or mineral to support your everyday wellbeing."
Mango & Strawberry  20 Tea Bags,17,https://twinings.co.uk/products/mango-strawberry-20-tea-bags,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Mango-Strawberry-Zesty-Lime-20-Tea-Bags-Front_540x.jpg?v=1631700995,"Mango, strawberry and lime flavoured herbal infusion.  Discover irresistible infusions for the flavour curious. Tempting fruit and herbal infusions, packed full of extraordinary flavours and natural ingredients. Sugar free, all natural ingredients and caffeine free. An irresistible burst of tropical sunshine from exotic mango, blended with the sweet taste of strawberry & zesty lime to create a deliciously refreshing infusion."
Fruits Selection  20 Envelopes,17,https://twinings.co.uk/products/fruits-selection-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Fruits-Selection-20-Envelopes_540x.jpg?v=1619776020,Four of our best fruity infusions in one fabulous box - perfect for a mid-afternoon treat.5 x Cranberry & Raspberry - classic fruity 5 x Mango & Strawberry - classic fruity 5 x Blackcurrant & Blueberry- deliciously sweet 5 x St Clements- orange and lemon flavours  Every teabag is sealed in its own envelope for extra freshness. 20 envelopes per selection box.
Salted Caramel Indulgence Green Tea  20 Envelopes,17,https://twinings.co.uk/products/salted-caramel-indulgence-green-tea-20-envelopes,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Salted-Caramel-Indulgence-Green-Tea-20-Envelopes_540x.jpg?v=1619614990,"Sweet but somehow slightly salty. Fresh tasting, yet somehow rich and warming. This tea is simply full of contradictions accompanied by the most irresistibly indulgent notes of caramel. If you love the idea of green tea, but also like the sweeter side of life, this may be the blend for you.All natural ingredients, sugar-free and only 4 calories a cup. Who'd have thought green tea could be so indulgent?Fancy yours chilled? Try our Salted Caramel Green Iced Tea recipe.""I love these! I'm a real sweet tooth and these are delicious. It's a great way to get a sweet fix without reaching for the biscuits!"""
Blood Orange & Cranberry  20 Tea Bags,17,https://twinings.co.uk/products/blood-orange-cranberry-20-tea-bags,https://cdn.shopify.com/s/files/1/0533/6743/9558/products/1-Twinings-Blood-Orange-Cranberry-Juicy-Pomegranate-20-Tea-Bags-Front_540x.jpg?v=1631702721,"Blood orange, cranberry, and pomegranate flavoured herbal infusion.  Discover irresistible infusions for the flavour curious. Tempting fruit and herbal infusions, packed full of extraordinary flavours and natural ingredients. Sugar free, all natural ingredients and caffeine free. A sweet, succulent blend of Blood Orange, harmonising perfectly with tangy Cranberry and juicy Pomegranate to create a journey for the taste buds."
