name,producer,href,image_url,description
Brandnetel Citroengras thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/brandnetel-citroengras-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/brandnetel_citroengras_thee.png,"Zonnatura Brandnetel en Citroengras is een thee op basis van biologische kruiden. De brandnetelblaadjes worden na de pluk gedroogd. Zo komen de goede eigenschappen, waaronder de zachte en zuivere smaak, goed tot hun recht. De toevoeging van citroengras geeft een heerlijke frisse smaak.
Geniet van deze infusie als onderdeel van gezonde voeding en levensstijl. In afwachting van toelating door de Europese Commissie."
Brandnetel thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/brandnetel-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/brandnetel_thee.png,"Zonnatura Brandnetel is een thee op basis van alleen pure biologische brandnetel. De brandnetelblaadjes worden na de pluk gedroogd. Zo komen de goede eigenschappen, waaronder de zachte en zuivere smaak van brandnetel, goed tot zijn recht. Lekker voor elk moment van de dag."
Chaimix kurkuma,9,https://www.zonnatura.nl//onze-producten/thee-categorie/chaimix-kurkuma-detail,https://www.zonnatura.nl/images/virtuemart/product/chaimix_kurkuma.png,"Een pure mix van kruiden en specerijen met een verwarmende kruidige smaak, nu verrijkt met kurkuma. Lekker om mee te ontspannen en een momentje voor jezelf."
Gember Citroengras thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/gember-citroengras-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/web_08711812414184-T1-1760762.png,Zonnatura Gember & Citroengras is een thee op basis van pure biologische kruiden en specerijen. Gember heeft van nature een frisse krachtige smaak. De toevoeging van citroengras benadrukt de heerlijke frisse smaak. Heerlijk om op elk moment van de dag van te genieten.
Goede Nachtrust,9,https://www.zonnatura.nl//onze-producten/thee-categorie/goede-nachtrust-detail,https://www.zonnatura.nl/images/virtuemart/product/goede_nachtrust_thee_2018.png,"Zonnatura Goede Nachtrust is een thee op basis van alleen pure biologische kruiden. Het is een kruidenmelange van ondermeer citroenmelisse, zoethout en kamille. Deze speciaal geselecteerde melange is zoet van smaak en geschikt voor een heerlijk rustmoment voor jezelf, na alle hectiek van de dag. De biologische thee past in een gevarieerd voedingspatroon en een gezonde levensstijl..
Geniet van deze infusie als onderdeel van gezonde voeding en levensstijl. Claim in afwachting van toelating door de Europese Commissie."
Goedemiddag thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/verveine-citroengras-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/ZNT-Goedemiddag-thee-36gr-kartonnen-doosje2.png,Een krachtige kruideninfusie van gember en kurkuma met een frisse hint van citroengras en een vleugje kaneel. Deze biologische blend is perfect voor een heerlijke natuurlijke kick.
Goedemorgen thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/goedemorgen-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/goedemorgen_thee_2018.png,"Zonnatura Goedemorgen is een thee op basis van biologische kruiden. Het is een verkwikkende melange van onder andere de zoete smaak van braamblad, de frisse smaak van munt en fruitige smaak van citroengras. Een heerlijke biologische thee voor een goede start van de dag.
Geniet van deze infusie als onderdeel van gezonde voeding en levensstijl. Claim in afwachting van toelating door de Europese Commissie."
Groene Thee & Gember,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-gember-detail,https://www.zonnatura.nl/images/virtuemart/product/web_08711812425838-T1-1760768.png,Een pure groene thee met de krachtige smaak van gember en een vleugje zoethout en kaneel. Lekker kruidig om de hele dag van te genieten.
Groene Thee Citrus Echinacea,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-citrus-echinacea-detail,https://www.zonnatura.nl/images/virtuemart/product/Groene-Thee-Citrus-Echinacea-T1.png,"Onze Weerstand thee zit in een nieuw jasje en heet vanaf nu Groene Thee Citrus Echinacea! Het kan voorkomen dat jij tijdelijk in jouw theedoosje nog zakjes met het label ""Weerstand"" tegenkomt.
Zonnatura Groene Thee Citrus Echinacea is een frisse theemelange van biologische groene thee en citroenschil met toegevoegd echinacea. Heerlijk voor elk moment in het jaar."
Groene Thee Energie,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-energie-detail,https://www.zonnatura.nl/images/virtuemart/product/web_08711812479381-T1-1760810.png,"Zonnatura's energie thee activeert je natuurlijke energie in het lichaam. De groene thee met matcha en sinaasappel is een bron van natuurljike vitamine c, voor jouw kopje met net dat beetje extra."
Groene Thee Ginseng,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-ginseng-detail,https://www.zonnatura.nl/images/virtuemart/product/Groene-thee-Ginseng.png,"Zonnatura Groene Thee Ginseng is een biologische thee op basis van pure groene thee en een melange van kruiden. Groene thee is van zichzelf best wel bitter. Door de toevoeging van de pittige smaak van ginseng, de frisse smaak van citroengras en de zoete smaak van zoethout, ontstaat een frisse thee met een verkwikkende smaak. Een heerlijke biologische thee om op elk moment van de dag van te genieten."
Groene thee Immuun,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-immuun-detail,https://www.zonnatura.nl/images/virtuemart/product/web_08711812479244-T1-1760840.png,"Zonnatura's immuun thee heeft een positieve invloed op je immuunsysteem. De groene thee met matcha en zwarte bessmaak is een bron van natuurlijke energie, voor jouw kopje met net dat beetje extra."
Groene Thee Matcha,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-matcha-detail,https://www.zonnatura.nl/images/virtuemart/product/Groene-thee-Matcha.png,"Gaat binnenkort uit het assortiment.
Een pure groene thee verrijkt met matcha, aangevuld met verfrissende pepermunt en citroengras.
Een heerlijke biologische thee om op elk moment van de dag van te genieten."
Groene Thee Munt Gember,9,https://www.zonnatura.nl//onze-producten/thee-categorie/groene-thee-munt-gember-detail,https://www.zonnatura.nl/images/virtuemart/product/Groene-thee-Munt-gember.png,"Gaat binnenkort uit het assortiment.
Zonnatura Groene Thee Munt Gember is een biologische pure groene thee met de frisse smaak van munt en een krachtige twist van gember. Heerlijk verfrissend de hele dag door."
Hennep Citroenmelisse thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/hennep-citroenmelisse-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/8711812422844 Hennep-Citroenmelisse.png,"Gaat binnenkort uit het assortiment.
Een frisse infusie van pure biologische citroenmelisse en hennepzaad. Deze rustgevende melange heeft een citroenachtige smaak en is heerlijk om ontspannen van te genieten."
Hennep Kamille thee,9,https://www.zonnatura.nl//onze-producten/thee-categorie/hennep-kamille-thee-detail,https://www.zonnatura.nl/images/virtuemart/product/hennep_kamille_thee.png,Een milde infusie van biologische kamille en hennepzaad. Een rustgevende melange met een bloemige smaak om heerlijk ontspannen van te genieten.
