name,producer,href,image_url,description
Brasil Yellow Bourbon,5,https://www.brandzaak.nl/brasil-yellow-bourbon,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/b/r/brasil-min.png,"Ben je liefhebber van een milde koffie met een zoete smaak? Dan is de Brasil Yellow Bourbon precies wat je zoekt. De Brasil Yellow Bourbon is een uiterst gebalanceerde koffie met hinten van melkchocolade en karamel. De koffiebonen groeien op Fazenda Rainha, onthoud die naam goed, het is namelijk een prijswinnende plantage. De Fazenda Rainha heeft meerdere keren de Cup of Excellence gewonnen. In de afgelopen 18 jaar heeft Fazenda Rainha maar liefst 7(!) keer de Cup of Excellence gewonnen en mocht in die jaren zich kronen tot de beste koffie uit Brazilië!"
Honduras Marcala Comsa,5,https://www.brandzaak.nl/honduras-marcala-comsa,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/h/o/honduras-min.png,"Er bestaan weinig koffies die zich goed staande houden in bijna alle koffiebereidingen. De melk in een cappuccino zoekt snel naar een krachtige koffie als metgezel terwijl een espresso smaakvoller is zonder overheersende bittere tonen. Maar, als er een koffie bestaat die zowel als espresso als in koffiebereidingen met melk zijn mannetje staat, dan is het de Honduras Marcala COMSA wel. De Honduras is vol en romig van smaak. Hinten van melkchocolade, walnoten en een superbe afdronk nodigen je keer op keer uit naar nieuwe teugen."
Costa Rica Coope Tarrazu,5,https://www.brandzaak.nl/costa-rica-coope-tarrazu,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/c/o/costa-rica-min.png,"Het klinkt een beetje vreemd, maar de Costa Ricaanse koffiebonen smaken en ruiken nog veel meer naar koffie dan andere koffiebonen dat doen. De fijnproever herkent notige hinten in de koffie, voornamelijk aanwezig in geur en afdronk. De Costa Ricaanse koffiebonen zijn perfect in balans en kennen nagenoeg geen aciditeit. Wat betreft de kwaliteit zijn de koffiebonen van het allerhoogste niveau, namelijk Strictly Hard Beans (SHB). Alleen koffiebonen die geteeld worden op een hoogte hoger dan 1300 meter worden hiermee aangeduid. Het zorgt voor een zeer langzame groei van de koffiebessen voor consistente en ongeëvenaarde smaakeigenschappen."
Guatemala Huehuetenango,5,https://www.brandzaak.nl/guatemala-huehuetenango,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/g/u/guatemala-min.png,"Ben jij liefhebber van een intens kopje koffie? Dan zit je met deze krachtige Guatemala goed. De koffie is erg rijk van smaak en heeft een stevige body wat garant staat voor een vol mondgevoel. Een lange afdronk van pure chocolade mag daarbij niet ontbreken. De koffie is uitermate geschikt om heel de dag door te drinken, met óf zonder melk. De Guatemala is karamel-zoet en notig van smaak."
Panama Familia Suárez,5,https://www.brandzaak.nl/panama-suarez,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/p/a/panama_2.png,"Laat je opnieuw betoveren door de magie van een tijdelijke koffie-ervaring. Deze keer voert onze reis je naar het schilderachtige Boquete, gelegen aan de voet van de majestueuze Barú vulkaan in Panama. Op de weelderige hellingen die de vallei omhelzen, ontvouwt zich het Baru Indian High landgoed, een juweel in handen van de gepassioneerde Suárez-familie. Onder de bedreven leiding van Norberto Suárez gedijt hier koffie van uitzonderlijke kwaliteit, waar aromatische nuances van amandelen en noga samensmelten tot een verfijnde symfonie. Met een indrukwekkende cuppingscore van 84 nodigt deze aromatische en complexe koffie je uit om de hoogten van genot te verkennen. Welkom bij een tijdelijke traktatie die de zintuigen prikkelt en het hart van Boquete in elke geurige druppel vastlegt."
Ethiopia Yirgacheffe,5,https://www.brandzaak.nl/ethiopia-yirgacheffe,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/e/t/ethiopia-min.png,"De befaamde koffiebonen uit de hoge bergen van Yirgacheffe zijn een ware sensatie voor de echte koffiekenners. De intense aroma’s, zoete smaken en een frisheid om kippenvel van te krijgen. Vergeet alle koffies die je tot nu toe hebt gedronken, doe je ogen dicht en ontdek de licht-bloemige tonen en jasmijn met een chocolade-achtige afdronk."
Decaf: Colombia Huila,5,https://www.brandzaak.nl/decaf,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/d/e/decaf-min.png,Wil je cafeïne vermijden maar toch genieten van een lekkere kop koffie? Onze Colombia Huila Decaf is een toegankelijke koffie met hinten van caramel en tonen van pure chocolade. Geschikt om ieder moment van de dag te drinken. Vergeet die vlakke en bittere decaf’s die je eerder hebt gedronken. Dit is andere koek.
Roasters Pick,5,https://www.brandzaak.nl/roasters-pick,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/r/o/roasters-pick-min.png,"Hier zijn ze dan, de meest populaire koffies uit het assortiment van Brandzaak. Ook ideaal als cadeau of relatiegeschenk. Is het een cadeautje? Doe er een handgeschreven kaartje bij!"
Latin Blend,5,https://www.brandzaak.nl/latin-blend,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/l/a/latin-blend-min.png,"De Latin Blend is samengesteld met 1 doel; het creëren van dé ultieme chocoladebom. Hoe doe je dat? Simpel, neem de Brasil en Guatemala in gelijk verhoudingen en tadaa! Achteraf gezien erg makkelijk maar er zijn nog al wat cuppingrondes aan vooraf gegaan. Met hoeveel singles wil je werken? Welke verhoudingen neem je om de tonen van de afzonderlijke singles te bewaken maar tegelijkertijd juist die extra dimensie toe te voegen? Welke koffiebonen maar vooral het type branding past er het beste bij? Rustig aan, gelukkig hoef jij deze vragen niet te beantwoorden, dat hebben wij namelijk voor je gedaan in de vorm van de Latin Blend. Tonen van toffee en pure chocolade, verpakt in een dik en melasse body. Met of zonder melk, de Latin Blend staat zijn mannetje. Dit is ‘m helemaal."
Onyx Blend,5,https://www.brandzaak.nl/onyx-blend,https://www.brandzaak.nl/media/catalog/product/cache/8ed4842782f83e2f3d048b564a8ceb80/o/n/onyx-blend-min.png,De Onyx Blend is een creatie van onze klanten. Koffieliefhebbers met een voorkeur voor een breed smaakpalet en een hoge mate van intensiteit mixten al langer onze twee meest intense koffies. Namelijk de Honduras en de Guatemala. Het resultaat is een intense koffie met hinten van pure chocolade en dadels. De Onyx Blend is bij uitstek geschikt voor een intens kopje koffie of espresso én voor cappuccino’s waar de koffiesmaak nooit wordt afgetroefd door de melk.
