name,producer,href,image_url,description
Organic Earl Grey,7,https://www.clipper-teas.nl/product/organic-fairtrade-earl-grey-tea/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/CT-Earl-Grey.png,"Gemaakt van de allerbeste zwarte thee uit het heuvelachtige Nigiri gebied in het Zuiden van India. De lichte, delicate smaak van deze thee hebben we verrijkt met natuurlijk bergamot- en citroenaroma."
Organic Earl Grey Orange twist,7,https://www.clipper-teas.nl/product/organic-earl-grey-orange-twist/,https://nl.clipper.madriver.app/wp-content/uploads/2021/09/CPN-Earl-Gray-Orange-2021-pack-600x600.png,"Geniet van de heerlijke delicate smaak van deze Earl Grey thee. We hebben 'm voor deze blend verrijkt met bergamot én sinaasappel, die de thee een lekkere en verrassende twist geven!"
Organic Forest Fruit Black Tea,7,https://www.clipper-teas.nl/product/organic-forest-fruit-black-tea/,https://nl.clipper.madriver.app/wp-content/uploads/2021/09/CPN-Forest-Fruit-2021-pack-600x600.png,"Geniet het hele jaar door van deze zomerse thee! Deze fruitige biologische & Fairtrade thee is een smaakvolle blend van zwarte thee met zwarte bes, aardbei en framboos."
Organic English Black Tea,7,https://www.clipper-teas.nl/product/organic-english-black-tea/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/webversie-1-600x600.png,Onze Engelse thee is een echte majestueuze blend: vol van geur en rijk aan smaak. Deze drink je het best met de ochtendkrant!
organic Indian chai black tea,7,https://www.clipper-teas.nl/product/organic-indian-chai-black-tea/,https://nl.clipper.madriver.app/wp-content/uploads/2023/11/CP-SOP-Indian-Chai_NoBackground-min-600x600.png,Een zwarte chai die heerlijk kruidige smaakt. Door de verschillende kruiden en de sinasappelschil is het een fijn theetje voor in de koudere dagen.  Net iets specialer dan een zwarte thee.
Organic Mango & Citrus Infusion,7,https://www.clipper-teas.nl/product/mango-and-citrus-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2023/03/CP-SOP-Mango-and-citrus-transparent.png1_-600x600.png,Een heerlijke en verfrissende infusie met Mango en citrus. Maak jouw zomerse dagen nog zonniger met een kop Mango en citrus van Clipper!
infusion variety,7,https://www.clipper-teas.nl/product/infusion-variety/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/CP-SOP-Infusion-Variety_NoBackground-min-600x600.png,Ontdek jouw favoriete Clipper smaak met onze variatiebox! Ben je fan van onze verwarmende Rooibos Orange of ga je toch voor een rustgevende kop Zen Again?
Organic Rooibos & Cinnamon,7,https://www.clipper-teas.nl/product/organic-rooibos-cinnamon/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/Webversie-Rooibos-Cinnamon-600x600.png,Een verwarmende rooibos infusie met een vleugje kaneel. Precies wat jij nodig hebt om heerlijk te kunnen ontspannen!
Warming Orange & Cinnamon,7,https://www.clipper-teas.nl/product/organic-warming-orange-cinnamon/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/Webversie-600x600.png,Een verwarmende en kruidige infusie met sinaasappel en kaneel: voor de doorgewinterde theedrinker.
Warming Rooibos & Chai,7,https://www.clipper-teas.nl/product/organic-warming-rooibos-chai/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/Webversie-1-600x600.png,"De ultieme comfort tea. Het verwarmende van de rooibos in combinatie met de rijke smaak van chai kruiden. Om op te warmen en te ontspannen, op ieder moment van de dag!"
warming apple and cinnamon organic infusion,7,https://www.clipper-teas.nl/product/warming-apple-and-cinnamon-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/Warming-Apple-and-Cinnamon_SOP-min-600x600.png,"Warme combinatie tussen kaneel en appel. Proeft net als oma's net gebakken appeltaart, maar dan in drink je het als een theetje. Heerlijke voor op een koude dag."
warming cranberry & cinnamon organic infusion,7,https://www.clipper-teas.nl/product/warming-cranberry-cinnamon-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2023/11/Warming-Cranberry-and-Cinnamon_SOP-min-600x600.png,"Deze thee warmt jou helemaal op, door de heerlijke combinatie van cranberry en kaneel. Dit theetje is een warm fruitachtig feestje in jouw mok!"
Organic Mighty Mint,7,https://www.clipper-teas.nl/product/organic-mighty-mint/,https://nl.clipper.madriver.app/wp-content/uploads/2022/08/Webversie-Mighty-Mint-600x600.png,Laat je verrassen door deze verfrissende mint blend. Ideaal voor een verkwikkend momentje gedurende de dag!
Organic Nighty Night,7,https://www.clipper-teas.nl/product/nighty-night-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2022/02/Nighty-Night-SOP-small-version-for-online-600x600.png,Biologische thee infusie van kamille en kaneel. Rustgevend en delicaat. De perfecte metgezel bij een boek voor het slapengaan!
Organic Chamomile & Peach Twist,7,https://www.clipper-teas.nl/product/twist-chamomile-peach-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2021/02/20s-Chamomile-SOP-600x600.png,"We zetten de bloemetjes buiten! Met deze frisse blend van kamille, perzik, sinaasappel en rozen waan je je in een bloemenveld. Neem een momentje voor jezelf om te genieten van deze heerlijke lichtzoete kruideninfusie."
ginger & turmeric organic infusion,7,https://www.clipper-teas.nl/product/ginger-turmeric-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2021/02/NL-Ginger-Turm-Mock-Up-Angle5-600x600.png,Een pittig theetje! In deze biologische en van nature caffeïnevrije gemberthee met kurkuma proef je de diepe pittigheid  en warmte van de gember en kurkuma terug. Ideaal voor als jij wel een oppepper kunt gebruiken!
Organic Rooibos & Orange,7,https://www.clipper-teas.nl/product/organic-rooibos-orange/,https://nl.clipper.madriver.app/wp-content/uploads/2020/11/CPNL-Rooibos-front-and-side4-1-600x600.png,Een verwarmende thee voor als je wel wat warmte kunt gebruiken. Deze infusie van rooibos en sinaasappel is net wat jij nodig hebt om even te kunnen ontspannen.
Organic Lemon & Ginger,7,https://www.clipper-teas.nl/product/organic-lemon-ginger-infusion-50s/,https://nl.clipper.madriver.app/wp-content/uploads/2021/02/80s-Lemon-ginger-SOP-min-600x600.png,"Dit is één van onze favorieten. In deze biologische en van nature caffeïnevrije gemberthee met citroen proef je de heldere, frisse smaak van citroenschil en de diepe, warme pittigheid van gember. Nu ook verkrijgbaar per 50 zakjes."
Organic Snore & Peace,7,https://www.clipper-teas.nl/product/snore-peace-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/CT-Snore-and-Peace-and-Side-1.png,Een rustgevende infusie met de bloemensmaak van kamille en lavendel en het verfrissende van citroenmelisse. De perfecte metgezel bij een boek voor het slapengaan.
Organic Happy Mondays,7,https://www.clipper-teas.nl/product/happy-mondays-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/CT-Happy-Monday-Front-and-Side-1.png,"Voor als je wel even een oppepper kan gebruiken! Een heerlijke biologische kruideninfusie van frisse citroen, verwarmende gember en zwarte peper voor extra pit!"
Organic Zen Again,7,https://www.clipper-teas.nl/product/zen-again-organic-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/CT-Zen-Again-Front-and-Side-1.png,"Een heerlijk uitgebalanceerde, spa-genspireerde melange. Een combinatie van de verfrissende smaak van citroengras en de frisheid van eucalyptus. Even een momentje van reflectie."
Organic Orange & Turmeric,7,https://www.clipper-teas.nl/product/organic-orange-turmeric/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/sinaasappel-kurkuma.png,Laat je verrassen door deze heerlijke van fruitige sinaasappel en verkwikkende kurkuma. Deze biologische blend is ideaal voor een verkwikkend momentje gedurende de dag.
Organic Orange & Lemon,7,https://www.clipper-teas.nl/product/organic-orange-lemon-infusion/,https://nl.clipper.madriver.app/wp-content/uploads/2019/09/sinaasappel-citroen.png,Een levendige blend van lichtzure citroen met een vleugje zoete sinaasappel. Oftewel: zingy and zesty to wake the senses!
Organic Classic Chai Tea,7,https://www.clipper-teas.nl/product/organic-classic-chai/,https://nl.clipper.madriver.app/wp-content/uploads/2021/02/20s-Classic-chai-SOP-min-600x600.png,"Een typische warme Indische kruidenmelange van kaneel, kruidnagel en sinaasappelschil. De ultieme comfort tea met een diepe, kruidige smaak. Ook lekker met melk (en met een beetje suiker)."
