name,producer,href,image_url,description
Rooibos Original,6,https://www.pickwick.nl/assortiment/rooibos/original/,https://www.pickwick.nl/siteassets/_new/packshots/rooibos/original-rooibos2x.png?format=webp,Heerlijke blend met een vleugje   kaneel.
Rooibos Honey,6,https://www.pickwick.nl/assortiment/rooibos/honey/,https://www.pickwick.nl/siteassets/_new/packshots/rooibos/honey2x.png?format=webp,Heerlijke blend met een vleugje honing.
Rooibos Mango Perzik,6,https://www.pickwick.nl/assortiment/rooibos/mango-perzik/,https://www.pickwick.nl/siteassets/_new/packshots/rooibos/mango-peach2x.png?format=webp,Heerlijke blend met een vleugje mango en perzik.
Rooibos Citrus,6,https://www.pickwick.nl/assortiment/rooibos/citrus/,https://www.pickwick.nl/siteassets/_new/packshots/rooibos/citrus.png?format=webp,Heerlijke blend met een vleugje citrusvrucht.
Rooibos variatiebox,6,https://www.pickwick.nl/assortiment/rooibos/variation-box/,https://www.pickwick.nl/siteassets/assortiment/rooibos/rooibos_variatiebox_2023.png?format=webp,Heerlijke rooibos theeën in vier verschillende smaken.
Lemon,6,https://www.pickwick.nl/assortiment/green/lemon/,https://www.pickwick.nl/siteassets/assortiment/green/green_lemon2.png?format=webp,Frisse groene thee met een vleugje citroen.
Pure,6,https://www.pickwick.nl/assortiment/green/pure-green/,https://www.pickwick.nl/siteassets/assortiment/green/green_pure2.png?format=webp,Frisse groene thee met een karakteristieke lichte kleur
Cranberry,6,https://www.pickwick.nl/assortiment/green/cranberry/,https://www.pickwick.nl/siteassets/assortiment/green/green_cranberry2.png?format=webp,"Frisse, fruitige groene thee met cranberry."
White & Green Tea Passionfruit,6,https://www.pickwick.nl/assortiment/green/white-and-green-tea-passionfruit/,https://www.pickwick.nl/siteassets/_new/packshots/herbal-super-blends/8711000549650_c1n1.png?format=webp,Een heerlijke witte thee met groene jasmijnthee en passievrucht.
Ginger & Lemongrass,6,https://www.pickwick.nl/assortiment/green/ginger-lemongrass/,https://www.pickwick.nl/siteassets/assortiment/green/green_lemongrass2.png?format=webp,Verrassend frisse groene thee met gember en citroengras.
Orange Mandarin,6,https://www.pickwick.nl/assortiment/green/orangemandarin/,https://www.pickwick.nl/siteassets/assortiment/green/green-orange-mandarin2.png?format=webp,Gearomatiseerde groene thee met sinaassappelschilletjes en natuurlijk mandarijn aroma.
Green Tea Variation Box,6,https://www.pickwick.nl/assortiment/green/variationbox/,https://www.pickwick.nl/siteassets/assortiment/green/green-variation2.png?format=webp,Vier heerlijke groene thee blends samen in één verpakking.
Earl Grey,6,https://www.pickwick.nl/assortiment/black/earl-grey/,https://www.pickwick.nl/siteassets/assortiment/packshots/earl_grey_packshot2.png?format=webp,Licht kruidige blend met bergamot.
Ceylon,6,https://www.pickwick.nl/assortiment/black/ceylon/,https://www.pickwick.nl/siteassets/products/ceylon-packshot.png?format=webp,Licht kruidige blend uit Sri Lanka.
English,6,https://www.pickwick.nl/assortiment/black/english/,https://www.pickwick.nl/siteassets/assortiment/packshots/english_packshto2.png?format=webp,"Onze populairste theesoort, een blend van de beste theesoorten."
Dutch,6,https://www.pickwick.nl/assortiment/black/dutch/,https://www.pickwick.nl/siteassets/assortiment/packshots/dutch_packshot2.png?format=webp,Verfijnde blend met de frisse smaak van sinaasappel.
