name,producer,href,image_url,description
No. 105 Dutch Breakfast BIO,4,https://shop.senzatea.nl/tea-selections/selected-teas/zwarte-theesoorten/zwarte-losse-thee-dutch-breakfast/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Dutch-Breakfast-thee-600x600.jpg,"De Engelsen mogen dan echte theedrinkers zijn, wij Nederlanders hebben thee voor het eerst naar Europa gebracht. Deze biologische zwarte thee van Chinese theeplanten heeft een krachtig karakter, met een fruitige afdronk. Hiermee durven wij de strijd met English Breakfast wel aan!"
No. 111 Earl Grey Blue Flower,4,https://shop.senzatea.nl/tea-selections/selected-teas/zwarte-theesoorten/zwarte-losse-thee-earl-grey-blue-flower/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Earl-Grey-Flower-thee-600x600.jpg,"Een krachtige zwarte thee op smaak gebracht met de bergamot, een frisse citrusvrucht uit Zuid-Italië. De helderblauwe korenbloesem maakt deze klassieker helemaal af."
No. 115 Spicy Chai,4,https://shop.senzatea.nl/tea-selections/selected-teas/zwarte-theesoorten/verwarmende-kruidenmelange-spicy-chai/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Spicy-Chai-thee-los-600x600.jpg,"In India wordt het recept voor deze verwarmende kruidenmelange met zwarte thee al eeuwenlang van generatie op generatie doorgegeven. Wij kunnen nu ook genieten van deze melange met gember, kruidnagel en kardemom."
No. 116 Forest Happiness,4,https://shop.senzatea.nl/tea-selections/selected-teas/zwarte-theesoorten/zwarte-losse-thee-forest-happiness/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Forest-Happiness-losse-thee-600x600.jpg,Een bijzondere zwarte thee met de smaak van vers geplukte aardbeien en bosbessen. Deze zoete smaaksensatie is een echte allemans vriend. De hele dag door heerlijk!
No. 201 Gunpowder Green BIO,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/groene-thee-gunpowder-green-bio/,https://shop.senzatea.nl/wp-content/uploads/2020/02/201-Gunpowder-Green-1-600x600.png,"Deze biologische groene thee uit de Chinese provincie Zhejiang is wereldwijd een van de meest gedronken theesoorten. De naam komt van de ronde vorm van de gedroogde theebladeren. De thee kenmerkt zich door z’n kruidige, licht rokerige aroma."
No. 203 Chuyeqi Green BIO,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/groene-thee-chuyeqi-green-bio/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Chuyeqi-Groene-Thee-Los-600x600.jpg,"Wij zijn apetrots op deze biologische groene thee uit Fuliang, China. De thee komt van de Chuyeqi theestruik die elk jaar in april wordt geplukt. Waan je met deze milde thee met walnoot-achtig aroma in een Oriëntaalse theetuin!"
No. 211 Sencha Sensation,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/groene-sencha-sensation/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Sencha-Sensation-groene-thee-600x600.jpg,Het verhaal van het potje en het dekseltje. Dat geldt zeker voor deze Sencha thee in combinatie met frisse citrusvruchten. Een vleugje gember geeft deze melange wat extra pit.
No. 212 Orange Chocolate,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/groene-losse-thee-orange-chocolate/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Orange-Chocolate-thee-600x600.jpg,Een thee voor de echte choco liefhebber! Groene Sencha thee met pure cacao en fruitige sinaasappel. Zonder schuldgevoel van chocolade genieten dus!
No. 213 Green Jasmine BIO,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/groene-jasmijn-thee-green-jasmine-bio/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Groene-Jasmijnthee-600x600.jpg,"Biologische groene thee uit Fujian, China. Na het plukken worden jasmijnbloemen toegevoegd aan de versgeplukte thee. Deze methode wordt al meer dan duizend jaar toegepast en zorgt voor de krachtige, bloemige en zoete smaak van de thee."
No. 215 Mango Mood,4,https://shop.senzatea.nl/tea-selections/selected-teas/groene-theesoorten/no-215-mango-mood-losse-thee/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Mango-Mood-Losse-Thee-600x600.jpg,"Deze onweerstaanbare blend van Sencha, mango en bloemblaadjes brengt je direct in de tropische mood. Vergeet die lange vlucht, dit is instant vakantie in je glas!"
No. 311 White Paradise,4,https://shop.senzatea.nl/tea-selections/selected-teas/witte-theesoorten/witte-losse-thee-white-paradise/,https://shop.senzatea.nl/wp-content/uploads/2023/04/White-Paradise-thee-600x600.jpg,Een exclusieve blend van witte en groene thee op smaak gebracht met de zoete smaak van lychee en rozenbladeren. Een licht-zoete thee voor elk moment van de dag.
No. 401 African Rooibos BIO,4,https://shop.senzatea.nl/tea-selections/selected-teas/rooibos-theesoorten/biologische-rooibos-african-rooibos/,https://shop.senzatea.nl/wp-content/uploads/2023/04/African-Rooibos-Losse-Thee-600x600.jpg,"Pure, biologische African rooibos uit Zuid-Afrika. De naalden van de rooibos plant geven een milde maar toch volle smaak. Deze cafeïnevrije dorstlesser is rijk aan vitamines en mineralen en daarmee een gezonde keuze."
No. 411 Warming Soul,4,https://shop.senzatea.nl/tea-selections/selected-teas/rooibos-theesoorten/losse-rooibos-thee-warming-soul/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Warming-Soul-Thee-Los-600x600.jpg,Verwarmende blend van losse rooibos thee met de zoete en kruidige smaak van natuurlijke vanille en kaneel. Deze cafeïnevrije blend kun je de hele dag door drinken.
No. 412 Refreshing Rooibos,4,https://shop.senzatea.nl/tea-selections/selected-teas/rooibos-theesoorten/rooibos-refreshing-rooibos/,https://shop.senzatea.nl/wp-content/uploads/2023/04/Refreshing-Rooibos-thee-los-600x600.jpg,De rooibos in deze blend komt uit de omgeving van de Cederberg in Zuid-Afrika; de enige plek ter wereld waar de rooibosplant groeit. De fruitige smaak van appel en citroen past perfect bij de milde smaak van de rooibos.
